"pin","title","target_book","slide_01","slide_02","slide_03","slide_04","slide_05","slide_06","slide_07","slide_08","slide_09","slide_10","content_slides"
"003","The 9-Page Email Sent on Halloween That Started a $2 Trillion Revolution","BITCOIN WHITEPAPER: THE HUMANS VERSION","The 9-Page Email Sent on Halloween That Started a $2 Trillion Revolution","On Halloween 2008, someone sent a quiet email to a small group of computer scientists with a 9-page document attached.","It described a way to send money directly to another person — with no bank in the middle.","Most of the scientists ignored it. The one person who wrote back got sent the first 10 Bitcoin ever transferred between two people.","Those coins are worth hundreds of thousands of dollars today.","What that document solved had stumped computer scientists for over 40 years — how do you stop someone spending the same digital money twice, without a bank keeping score? Satoshi's answer was to make every transaction public.","Not public like your name and address — public like a shared scoreboard that thousands of computers around the world all check and agree on simultaneously.","Nobody owns it. Nobody controls it. Nobody can quietly change the records.","That 9-page document is still free to read — but if you want it explained in plain English, this book does exactly that.","Bitcoin Whitepaper for Humans
Get it on Amazon →","8"
"004","Until 1974, US Banks Could Legally Refuse Women a Credit Card","BITCOIN: A WOMAN'S BEST FRIEND","Until 1974, US Banks Could Legally Refuse Women a Credit Card","Until 1974, US banks could legally refuse a woman a credit card — even if she had her own job and her own income.","She needed a man's signature. The law eventually changed, but banks kept other tools.","Today they can still freeze your account, flag your transactions as suspicious, or reverse your payments — without warning, without explanation.","Bitcoin removes every one of those gatekeepers. You hold the keys, you own the money.","No application, no approval, no manager deciding your finances for you. Financial independence isn't just about earning money — it's about actually controlling it.","In dozens of countries today, women still face barriers opening accounts, taking out loans, or moving money freely.","Bitcoin doesn't ask for permission. There's no form to fill in, no office to visit, no person to say yes or no.","You download a free app, generate a wallet, and you're your own bank. Completely. Your money goes where you send it, when you send it, to whoever you choose. No one can freeze it.","Bitcoin: A Woman's Best Friend
Get it on Amazon →","8"
"005","There Are More Millionaires on Earth Than There Are Bitcoin","QUESTION EVERYTHING YOU KNOW ABOUT MONEY","There Are More Millionaires on Earth Than There Are Bitcoin","There are about 56 million millionaires in the world. There will only ever be 21 million Bitcoin — ever.","That means even if only millionaires wanted Bitcoin, there physically isn't enough for each one to own a whole coin.","Compare that to the US dollar: in just 2020 and 2021 alone, more new dollars were printed than in the entire prior history of the US combined.","One type of money has no limit at all. The other has a hard cap that can never be changed. Here's a simple way to think about it.","Imagine there's a pie with exactly 21 million slices, and the recipe is locked — nobody can ever bake a bigger pie.","Now imagine a different pie where the baker can add as many slices as they want, whenever they want.","Which pie do you think holds its value better over time? Every Bitcoin can also be divided into 100 million tiny pieces called satoshis, so you don't need to buy a whole one.","You can start with just a few dollars. The scarcity is real. The entry is not.","Question Everything
Get it on Amazon →","8"
"006","Is Bitcoin Used by Criminals? Here Are the Actual Numbers","BITCOIN MYTHS & LEGENDS","Is Bitcoin Used by Criminals? Here Are the Actual Numbers","In 2023, illegal activity made up just 0.34% of all Bitcoin transactions — according to Chainalysis, the firm that tracks crypto crime for government agencies.","For physical cash, the estimate is 2 to 5%. Bitcoin records every single transaction permanently on a public ledger that anyone can check.","When the Colonial Pipeline hackers demanded Bitcoin as ransom in 2021, the FBI recovered most of it — by following the blockchain trail.","Cash leaves no trail at all.","The 'Bitcoin is for criminals' story comes up a lot — usually from people who haven't looked at the actual data.","The truth is that Bitcoin is one of the worst tools a criminal could choose, because every transaction is permanently recorded and publicly visible.","Old-fashioned cash is untraceable, accepted everywhere, and has funded crime for centuries.","Bitcoin's transparency is actually one of the reasons banks and governments have started warming to it. The facts are a lot more interesting than the headlines.","Bitcoin Myths & Legends
Get it on Amazon →","8"
"007","Your Savings Account Is Quietly Losing Value Every Single Day","FLUSH THE FIAT","Your Savings Account Is Quietly Losing Value Every Single Day","Since the US Federal Reserve was created in 1913, the dollar has lost about 97% of its purchasing power.","What cost $1 back then costs around $30 today. Your bank might pay you 0.5% interest on your savings.","But if prices are rising by 5% a year, you're losing 4.5% of your money's value every year — silently, automatically, without anyone telling you.","You're not gaining interest. You're losing purchasing power with a tiny discount applied.","This isn't about getting rich — it's about not getting slowly robbed. When governments print more money, each existing dollar buys a little less.","It's invisible, it's gradual, and most people don't notice until they wonder why the same weekly shop costs so much more than it used to.","Bitcoin is one of the few things designed to work the opposite way. The supply never grows. No one can print more.","So over time, if demand stays steady or grows, each coin represents a larger share of a fixed total. Simple, but important.","Flush the Fiat
Get it on Amazon →","8"
"008","Satoshi Nakamoto Hid a Secret Message Inside Bitcoin's Very First Block","WHO IS SATOSHI NAKAMOTO?","Satoshi Nakamoto Hid a Secret Message Inside Bitcoin's Very First Block","When Satoshi mined the very first Bitcoin block on January 3rd 2009, he buried a message inside it.","It was a newspaper headline from that day: Chancellor on brink of second bailout for banks.","He wasn't just building a new currency. He was making a statement about why the old one was broken.","That headline is now permanently recorded in Bitcoin's history — visible to anyone, forever, and impossible to delete. Think about the timing.","The 2008 financial crisis had just wiped out ordinary people's savings, pension funds, and homes — while governments spent billions bailing out the very banks that caused it.","Satoshi launched Bitcoin right in the middle of that. The hidden headline wasn't an accident. It was a timestamp and a reason.","Bitcoin was built to be an alternative to a system where the rules could be changed to protect the powerful and leave everyone else behind.","That context makes it a lot more than just a tech project.","Who Is Satoshi Nakamoto?
Get it on Amazon →","8"
"009","If a Bank Can Freeze Your Account, Do You Really Own Your Money?","BITCOIN: A WOMAN'S BEST FRIEND","If a Bank Can Freeze Your Account, Do You Really Own Your Money?","When you deposit money in a bank, it legally becomes the bank's money — not yours.","You become an unsecured creditor, which means if the bank gets into trouble, you join a queue.","Banks can freeze accounts, block transactions, and reverse payments — often without needing to explain why. This happens to regular people every day, not just criminals.","With Bitcoin, the only person who can move your money is the person who holds the private key.","If that's you, nobody else has a say. Most people have never thought about this. We're taught that putting money in a bank is the safest thing you can do.","And for most daily purposes, it is convenient and practical. But convenient and yours are two different things. A bank account is really a promise from the bank to pay you back.","Bitcoin in your own wallet is an actual asset you hold — like cash in your hand, except it can't be physically taken, can't be inflated away, and can be sent anywhere in the world in minutes.","Understanding the difference is the first step.","Bitcoin: A Woman's Best Friend
Get it on Amazon →","8"
"010","Bitcoin Uses Less Energy Than the Entire Banking System. Here's the Real Story.","BITCOIN MYTHS & LEGENDS","Bitcoin Uses Less Energy Than the Entire Banking System. Here's the Real Story.","Bitcoin mining does use electricity — that part is true. But here's what the headlines leave out.","Over 50% of Bitcoin mining now runs on renewable energy sources like hydro, wind and solar.","Miners actively seek out the cheapest electricity in the world, which is almost always surplus renewable energy that would otherwise go to waste.","Bitcoin also uses less energy annually than the traditional banking system — data centers, ATMs, branches, security, and all.","The comparison is rarely made fairly. There's also something called flare gas mining that barely gets mentioned.","Oil drilling operations burn off excess natural gas as waste — it just gets torched into the atmosphere as methane, which is far worse for the environment than CO2.","Some Bitcoin miners now capture that gas and use it to power their machines instead. They're turning what was pure pollution into a productive use. Is Bitcoin perfect? No.","But the Bitcoin destroys the planet headline is a lot more complicated when you look at what it's actually replacing.","Bitcoin Myths & Legends
Get it on Amazon →","8"
"011","Why One of the World's Richest Men Moved Billions Into Bitcoin","THE SAYLOR STANDARD","Why One of the World's Richest Men Moved Billions Into Bitcoin","In 2020, Michael Saylor — CEO of a publicly listed US company — moved $250 million of his company's cash reserves into Bitcoin.","Then he kept going. His company now holds more Bitcoin than any other publicly traded firm in the world.","He didn't do it for a quick profit.","He did it because he believes cash is a melting asset — one that loses value a little bit every year — and Bitcoin is the only asset with a fixed, guaranteed supply that no government can change.","Saylor calls Bitcoin digital property — not a currency, not a gamble, but a place to store value the way people used to store it in land or gold.","His argument is straightforward: if you leave $1 million in a bank account for 20 years and inflation averages 7% a year, you've effectively lost half your money without spending a penny.","He decided he'd rather own something scarce. You don't need billions to apply the same thinking.","Understanding why someone that informed made that bet is worth a few hours of your time.","The Saylor Standard
Get it on Amazon →","8"
"012","The $100 You Save for Your Child Today Will Buy Half as Much in 10 Years","THE BITCOIN FAMILY GUIDE","The $100 You Save for Your Child Today Will Buy Half as Much in 10 Years","If you put $100 in a savings account today and leave it for 10 years, at a typical 0.5% interest rate you'll have about $105.","But if inflation averages just 4% a year, that $105 will only buy what $71 buys today.","You saved diligently for a decade and ended up with less.","This is the silent problem with passing money down to children in traditional savings. The number goes up slightly. The actual value quietly shrinks.","This is why more parents and grandparents are looking at Bitcoin as a long-term gift for their children — not as a get-rich scheme, but as a way to give them something with a fixed supply that can't be printed away.","You can buy a tiny fraction of a Bitcoin for any amount.","Some families buy a small amount on birthdays, tuck it away in a hardware wallet, and let it sit for 20 years.","It's not financial advice — it's a conversation worth having with your family. This book walks through it in plain language anyone can understand.","The Bitcoin Family Guide
Get it on Amazon →","8"
